"","country","continent","variable","value"
"306","Guinea Bissau","Africa","total_recovered",3897
"307","Guinea","Africa","total_recovered",24148
"308","Guyana","South America","total_recovered",21166
"309","Haiti","North America","total_recovered",14248
"310","Holy See","Europe","total_recovered",27
"311","Honduras","North America","total_recovered",100697
"312","Hungary","Europe","total_recovered",748157
"313","Iceland","Europe","total_recovered",6716
"314","India","Asia","total_recovered",30812873
"315","Indonesia","Asia","total_recovered",2770092
"316","Iran","Asia","total_recovered",3367272
"317","Iraq","Asia","total_recovered",1464273
"318","Ireland","Europe","total_recovered",267749
"319","Isle Of Man","Europe","total_recovered",3365
"320","Israel","Asia","total_recovered",849081
"321","Italy","Europe","total_recovered",4134680
"322","Jamaica","North America","total_recovered",46979
"323","Japan","Asia","total_recovered",834967
"324","Jordan","Asia","total_recovered",750518
"325","Kazakhstan","Asia","total_recovered",473344
"326","Kenya","Africa","total_recovered",188936
"327","Kuwait","Asia","total_recovered",384062
"328","Kyrgyzstan","Asia","total_recovered",144564
"329","Laos","Asia","total_recovered",2804
"330","Latvia","Europe","total_recovered",135583
"331","Lebanon","Asia","total_recovered",537111
"332","Lesotho","Africa","total_recovered",6649
"333","Liberia","Africa","total_recovered",2715
"334","Libya","Africa","total_recovered",190978
"335","Liechtenstein","Europe","total_recovered",3009
"336","Lithuania","Europe","total_recovered",269309
"337","Luxembourg","Europe","total_recovered",71867
"338","Macedonia","Europe","total_recovered",150362
"339","Madagascar","Africa","total_recovered",41127
"340","Malawi","Africa","total_recovered",37693
"341","Malaysia","Asia","total_recovered",914639
"342","Maldives","Asia","total_recovered",74598
"343","Mali","Africa","total_recovered",13945
"344","Malta","Europe","total_recovered",31629
"345","Marshall Islands","Australia/Oceania","total_recovered",4
"346","Martinique","North America","total_recovered",104
"347","Mauritania","Africa","total_recovered",22228
"348","Mauritius","Africa","total_recovered",1854
"349","Mayotte","Africa","total_recovered",2964
"350","Mexico","North America","total_recovered",2204109
"351","Micronesia","Australia/Oceania","total_recovered",1
"352","Moldova","Europe","total_recovered",252051
"353","Monaco","Europe","total_recovered",2707
"354","Mongolia","Asia","total_recovered",164829
"355","Montenegro","Europe","total_recovered",98971
"356","Montserrat","North America","total_recovered",19
"357","Morocco","Africa","total_recovered",561930
"358","Mozambique","Africa","total_recovered",88380
"359","Myanmar","Asia","total_recovered",209512
"360","Namibia","Africa","total_recovered",95250
"361","Nepal","Asia","total_recovered",654177
"362","Netherlands","Europe","total_recovered",1668004
"363","New Caledonia","Australia/Oceania","total_recovered",58
"364","New Zealand","Australia/Oceania","total_recovered",2799
"365","Nicaragua","North America","total_recovered",4225
"366","Niger","Africa","total_recovered",5342
"367","Nigeria","Africa","total_recovered",164978
"368","Norway","Europe","total_recovered",88952
"369","Oman","Asia","total_recovered",278195
"370","Pakistan","Asia","total_recovered",940164
"371","Panama","North America","total_recovered",415265
"372","Papua New Guinea","Australia/Oceania","total_recovered",17324
"373","Paraguay","South America","total_recovered",419028
"374","Peru","South America","total_recovered",NA
"375","Philippines","Asia","total_recovered",1500189
"376","Poland","Europe","total_recovered",2653700
"377","Portugal","Europe","total_recovered",902014
"378","Qatar","Asia","total_recovered",223732
"379","Reunion","Africa","total_recovered",33894
"380","Romania","Europe","total_recovered",1047723
"381","Russia","Europe","total_recovered",5608619
"382","Rwanda","Africa","total_recovered",44837
"383","Saint Barthelemy","North America","total_recovered",462
"384","Saint Helena","Africa","total_recovered",2
"385","Saint Kitts And Nevis","North America","total_recovered",542
"386","Saint Lucia","North America","total_recovered",5368
"387","Saint Martin","North America","total_recovered",1399
"388","Saint Pierre And Miquelon","North America","total_recovered",26
"389","Saint Vincent And The Grenadines","North America","total_recovered",2229
"390","Samoa","Australia/Oceania","total_recovered",3
"391","San Marino","Europe","total_recovered",5005
"392","Sao Tome And Principe","Africa","total_recovered",2358
"393","Saudi Arabia","Asia","total_recovered",506089
"394","Senegal","Africa","total_recovered",47136
"395","Serbia","Europe","total_recovered",710555
"396","Seychelles","Africa","total_recovered",17538
"397","Sierra Leone","Africa","total_recovered",4270
